Id,Serien NR,Typ,Firma,Art
120,NULL,Mikro-Abhängvorr.,Sonstiges,Zubehör,0,,,,,x,x,,,,
121,NULL,Mikro-Abhängvorr.,Sonstiges,Zubehör,0,,,,,x,x,,,,
122,1185,Studer A 779,Pulte,Geräte,0,,,x,,x,x,,,,
125,NULL,HD 490,Kopfhörer,Zubehör,0,,,x,,x,x,,,,
128,NULL,Stativ klein,Stative,Zubehör,0,,,,,,,,,,
129,NULL,Stativ klein,Stative,Zubehör,0,,,,,,,,,,
132,NULL,Stativ klein,Stative,Zubehör,1,,,,???,,,,,,
134,NULL,Stativ klein,Stative,Zubehör,0,,,,,,,,,,
135,NULL,Talkback Alt,Talkback,Geräte,0,,,x,,x,x,,,,
136,NULL,Stativ klein,Stative,Zubehör,0,,,,,,,,,,
137,NULL,Schoeps-Spinne,Spinnen,Zubehör,0,,,x,,x,x,,,,
138,NULL,M 930-Spinne,Spinnen,Zubehör,0,,,,,,,,,,
139,NULL,M 930-Spinne,Spinnen,Zubehör,0,,,x,,,,Adminschrank-> Verkauf,,,
140,NULL,Neumann-Spinne,Spinnen,Zubehör,0,,,x,,,,Adminschrank-> Verkauf,,,
141,NULL,Neumann-Spinne,Spinnen,Zubehör,0,,,x,,,,Adminschrank-> Verkauf,,,
142,NULL,U87-Stativgelenk,Spinnen,Zubehör,0,,,x,,x,x,,,,
143,NULL,U87-Stativgelenk,Spinnen,Zubehör,0,,,x,,x,x,,,,
144,NULL,U 87-Spinne,Spinnen,Zubehör,0,,,x,,x,,,,,
145,NULL,U 89-Spinne,Spinnen,Zubehör,0,,,x,,,,Adminschrank-> Verkauf,,,
146,NULL,TLM 170-Spinne,Spinnen,Zubehör,0,,,x,,,,Adminschrank-> Verkauf,,,
147,NULL,Neumann-Spinne,Spinnen,Zubehör,0,,,x,,,,Adminschrank-> Verkauf,,,
148,NULL,Neumann-Spinne,Spinnen,Zubehör,0,,,x,,,,Adminschrank-> Verkauf,,,
149,NULL,TLM 170-Spinne,Spinnen,Zubehör,0,,,x,,,,Adminschrank-> Verkauf,,,
150,NULL,Stativ klein,Stative,Zubehör,0,,,x,,,,,,,
151,NULL,Neumann-Spinne,Spinnen,Zubehör,0,,,,,,,Adminschrank-> Verkauf,,,
152,NULL,U87-Stativgelenk,Spinnen,Zubehör,0,,,x,,x,x,,,,
153,NULL,U 87-Spinne,Spinnen,Zubehör,0,,,x,,,,Adminschrank-> Verkauf,,,
154,NULL,Manfrotto Multiblitz,Stative,Zubehör,0,,,x,,x,,,,,
155,NULL,Manfrotto Multiblitz,Stative,Zubehör,0,,,x,,x,,,,,
156,NULL,Manfrotto Multiblitz,Stative,Zubehör,0,,,,,x,,Vorhanden-aus KS?,,,
157,NULL,Manfrotto Multiblitz,Stative,Zubehör,0,,,x,,x,,Barcode erneuern,,,
