alte Barcodes,Seriennummer,Gerät,Typ,Art,Defekt,vorhanden,Bemerkungen
100202,34155 & 0320,KM 143,Neumann,Mikrofone,0,x,
100074,4232,PZM-30,Neumann,Mikrofone,0,x,
100078,45297,U87,Neumann,Mikrofone,0,,
100084,81601,MD 421,Sennheiser,Mikrofone,0,x,
100086,10664,MD 422,Sennheiser,Mikrofone,0,x,
100087,NULL,SM 57 inkl. Klemme,Shure,Mikrofone,0,x,
100901,16416,KM 83,Neumann,Mikrofone,0,x,
100902,21495,KM 83,Neumann,Mikrofone,0,x,
100903,27555,KM 83,Neumann,Mikrofone,0,x,
100904,27559,KM 83,Neumann,Mikrofone,0,x,
100905,51839,KM 84,Neumann,Mikrofone,0,x,
100906,80006,KM 84,Neumann,Mikrofone,0,x,
103001,87,GFM 132,Neumann,Mikrofone,0,x,
103002,88,GFM 132,Neumann,Mikrofone,0,x,
100100,4389,M160,BeyerDynamic,Mikrofone,1,x,
100109,4230,PZM-30,Crown,Mikrofone,0,x,
101401,A2373,U 47,Neumann,Mikrofone,0,x,
101402,A2375,U 47,Neumann,Mikrofone,0,x,
101501,???,U 67,Neumann,Mikrofone,0,,
101502,26229 (Großtuchel),U 87,Neumann,Mikrofone,0,x,
101503,41808,U 87,Neumann,Mikrofone,0,,
101504,45408,U 87,Neumann,Mikrofone,0,x,
100051,61142,U 87,Neumann,Mikrofone,0,x,
101509,8385,U 89,Neumann,Mikrofone,0,x,
100151,9906,U 89,Neumann,Mikrofone,0,,
101512,6903,TLM 170,Neumann,Mikrofone,0,,
100097,887,TLM 170,Neumann,Mikrofone,0,x,
130001,1039792,4006,B&K,Mikrofone,0,x,
130002,1085394,4006,B&K,Mikrofone,0,x,
130003,1085402,4006,B&K,Mikrofone,0,x,
130004,1386565,4006,B&K,Mikrofone,0,x,
130005,1386606,4006,B&K,Mikrofone,0,x,
130006,1498686,4006,B&K,Mikrofone,0,x,
100116,13015,M160,BeyerDynamic,Mikrofone,0,x,
100023,NULL,C451E,AKG,Mikrofone,0,x,
100122,NULL,RE20,ElectroVoice,Mikrofone,0,x,
100125,498,M930,Gefell,Mikrofone,0,,
100126,504,M930,Gefell,Mikrofone,0,,
100133,115201,MD 421,Sennheiser,Mikrofone,0,x,
100134,2545,M611,Telefunken,Mikrofone,0,x,
100136,21979,D224C,AKG,Mikrofone,0,x,
100143,NULL,RE20,ElectroVoice,Mikrofone,0,x,
100156,NULL,RE20,ElectroVoice,Mikrofone,0,x,
100033,NULL,RE20,ElectroVoice,Mikrofone,0,x,
110001,35394 & 67198,MK 2H,Schoeps,Mikrofone,0,x,
110002,35395 & 67361,MK 2H,Schoeps,Mikrofone,0,x,
110003,31276 & 28463,MK 2S,Schoeps,Mikrofone,0,x,
110004,31277 & 28464,MK 2S,Schoeps,Mikrofone,0,x,
110005,31278 & 28465,MK 2S,Schoeps,Mikrofone,0,x,
110006,31279 & 28466,MK 2S,Schoeps,Mikrofone,0,x,
110007,31280 &,MK 2S,Schoeps,Mikrofone,0,x,
110201,03486 & 88507,MK 21,Schoeps,Mikrofone,0,x,
110202,03487 & 88853,MK 21,Schoeps,Mikrofone,0,x,
110203,26993 & 99928,MK 21,Schoeps,Mikrofone,0,x,MK4 Kapsel!!
110204,26994 & 107535,MK 21,Schoeps,Mikrofone,0,x,
110501,31281 & 16998,MK 5,Schoeps,Mikrofone,0,x,
110502,31282 & 17000,MK 5,Schoeps,Mikrofone,0,,
110503,31283 & 18383,MK 5,Schoeps,Mikrofone,0,x,
110504,31284 & 18384,MK 5,Schoeps,Mikrofone,0,x,
110505,31285 & 20825,MK 5,Schoeps,Mikrofone,0,,
110506,31286 & 20972,MK 5,Schoeps,Mikrofone,0,x,
110801,21514 & 39033,MK 5,Schoeps,Mikrofone,0,x,
110508,31292 & 39034,MK 5,Schoeps,Mikrofone,0,x,
110509,16020 & 22755,MK 5,Schoeps,Mikrofone,0,x,
110510,21516 & 39037,MK 5,Schoeps,Mikrofone,0,,
110511,16343 & 44754,MK 5,Schoeps,Mikrofone,0,,
110512,16344 & 44755,MK 5,Schoeps,Mikrofone,0,x,
110802,21515 & 15026,MK 8,Schoeps,Mikrofone,0,x,
110901,03412 &,CMC,Schoeps,Mikrofone,0,x,
110902,03414 &,CMC,Schoeps,Mikrofone,0,x,
110903,03864 &,CMC,Schoeps,Mikrofone,0,x,
110904,03866 &,CMC,Schoeps,Mikrofone,0,x,
110905,03867 &,CMC,Schoeps,Mikrofone,0,x,
113001,333,BLM 03C (Kapsel),Schoeps,Mikrofone,0,x,
113002,334,BLM 03C (Kapsel),Schoeps,Mikrofone,0,x,
113003,335,BLM 03C (Kapsel),Schoeps,Mikrofone,0,x,
113004,830,BLM 03C (Kapsel),Schoeps,Mikrofone,0,x,
113005,831,BLM 03C (Kapsel),Schoeps,Mikrofone,0,x,
113010,606,MSTC 5,Schoeps,Mikrofone,0,x,
120001,11390,MKH 20,Sennheiser,Mikrofone,0,x,
120002,11392,MKH 20,Sennheiser,Mikrofone,0,x,
120401,14604,MKH 40,Sennheiser,Mikrofone,0,x,
120402,14912,MKH 40,Sennheiser,Mikrofone,0,x,
120403,15699,MKH 40,Sennheiser,Mikrofone,0,x,
100028,11057,MKH 800 P 48,Sennheiser,Mikrofone,0,x,
100029,11097,MKH 800 P 48,Sennheiser,Mikrofone,0,x,
140701,0830 & 0386,M 21 & MV 200,Microtech Gefell,Mikrofone,0,x,
140702,0843 & 0387,M 21 & MV 200,Microtech Gefell,Mikrofone,0,x,
101096,13267,MKH418 incl.Puschel/Griff/Kabel,Sennheiser,Mikrofone,1,x,
200001,NULL,"Cinch - Klinke 6,3 a",Adapter,Kabel,0,x,
200003,NULL,XLR w - XLR w,Adapter,Kabel,0,x,
200004,NULL,XLR m - XLR m,Adapter,Kabel,0,x,
200006,NULL,XLR m - XLR m,Adapter,Kabel,0,x,
200007,NULL,XLR m - XLR m,Adapter,Kabel,0,x,
200011,NULL,XLR m - XLR m,Adapter,Kabel,0,x,
200013,NULL,Mikrofonkabel 15m,Mikrofonkabel,Kabel,0,x,
200015,NULL,"XLR m - Klinke 6,3 s",Adapter,Kabel,0,x,
200016,NULL,"XLR w - Klinke 6,3 s",Adapter,Kabel,0,x,
200017,NULL,"XLR m - Klinke 6,3 s",Adapter,Kabel,0,x,
200018,NULL,Mikrofonkabel 10m,Mikrofonkabel,Kabel,0,x,
200025,NULL,Mikrofonkabel 15m,Mikrofonkabel,Kabel,0,x,
200027,NULL,Mikrofonkabel 10m,Mikrofonkabel,Kabel,0,x,
200028,NULL,Mikrofonkabel 5m,Mikrofonkabel,Kabel,0,x,
200030,NULL,Mikrofonkabel 10m,Mikrofonkabel,Kabel,0,x,
200031,NULL,Mikrofonkabel 15m,Mikrofonkabel,Kabel,0,x,
